nome_giocatore,numero_giocatore,squadra,ruolo,altezza,minuti,FALLI_C,FALLI_S,T2_R,T2_T,T2_PER,T3_R,T3_T,T3_PER,T1_R,T1_T,T1_PER,RIM_O,RIM_D,RIM_T,STOP_D,STOP_S,PALLE_P,PALLE_R,ASS
beka burjanadze,,UNAHOTELS Reggio Emilia,Ala,201,18.8,2.2,2.0,1.2,2.5,48.1,1.0,3.0,33.3,1.5,1.9,76.2,1.0,2.5,3.5,0.0,0.0,1.1,0.8,6.9
jason burnell,1,Happy Casa Brindisi,Ala,201,30.4,2.8,2.2,3.1,5.1,60.5,1.1,2.9,38.0,1.4,1.6,85.7,1.2,4.3,5.5,0.3,0.2,1.2,2.1,13.8
christian burns,23,Germani Brescia,Centro,203,7.4,1.4,0.9,0.7,1.4,47.8,0.0,0.3,0.0,0.7,0.8,84.6,0.9,1.4,2.3,0.0,0.1,0.6,0.4,2.8
artjoms butjankovs,26,Givova Scafati,Ala,205,17.3,2.8,1.8,1.4,3.3,42.3,0.0,0.3,0.0,1.4,1.9,73.3,1.4,1.3,2.6,0.1,0.6,1.3,0.6,2.4
alessandro buzzavo,,NutriBullet Treviso Basket,,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.0,0.0,-2.0,0.0,0.0
emanuele caiazza,7,Givova Scafati,,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyler cain,30,Bertram Yachts Derthona Tortona,Centro,105,22.4,1.5,2.8,2.6,4.1,63.8,0.0,0.0,0.0,1.2,2.2,54.8,1.6,3.9,5.6,0.5,0.1,1.3,1.4,12.2
giovanni alessio calamita,45,Dolomiti Energia Trentino,,0,2.7,3.3,7.0,1.0,0.0,0.3,3.7,2.3,4.3,6.7,0.0,0.0,3.7,2.7,1.7,11.0,0.786,0.7,0.0,0.0
gora camara,29,Virtus Segafredo Bologna,Centro,214,7.3,1.0,0.9,1.1,1.5,70.0,0.0,0.0,0.0,0.8,1.4,61.1,0.8,1.2,2.0,0.5,0.1,1.1,0.0,3.5
luca campogrande,12,Pallacanestro Trieste,Guardia,198,12.3,1.3,0.4,0.0,0.1,0.0,0.6,2.3,24.3,0.3,0.4,71.4,0.3,0.9,1.3,0.0,0.0,0.3,0.1,0.6
leonardo candi,7,Bertram Yachts Derthona Tortona,Play,190,17.4,2.2,2.1,1.2,2.4,51.2,0.8,2.4,34.1,1.1,1.2,95.0,0.3,1.7,2.0,0.1,0.2,0.6,2.0,7.5
francesco candussi,13,Tezenis Verona,Centro,213,7.9,2.0,0.5,0.6,1.9,33.3,0.1,1.4,9.1,0.5,0.8,66.7,0.5,0.6,1.1,0.3,0.4,0.4,0.1,-1.1
alessandro cappelletti,0,Tezenis Verona,Play,186,27.1,2.8,3.6,3.0,6.1,49.5,0.9,3.4,27.6,2.7,3.5,78.0,0.7,2.9,3.6,0.1,0.4,3.0,5.1,12.8
guglielmo caruso,30,Openjobmetis Varese,Centro,208,17.5,2.2,2.7,3.3,4.6,71.8,0.2,0.8,28.6,1.9,3.2,59.3,1.4,2.3,3.6,0.6,0.2,0.6,0.8,11.2
davide casarin,10,Tezenis Verona,Play,196,18.5,3.0,1.9,0.9,2.6,35.6,0.5,1.5,36.0,0.6,1.3,45.5,0.6,1.5,2.1,0.0,0.2,1.3,1.8,2.5
angelo maria castellitto,8,Happy Casa Brindisi,,0,0.7,0.3,1.7,0.0,0.3,2.0,0.7,0.3,0.7,1.0,0.0,0.3,0.0,0.3,0.7,0.3,0.5,1.0,0.0,0.0
troy caupain,10,Germani Brescia,Play,193,27.4,2.2,1.4,3.0,6.0,50.0,1.4,3.4,41.2,1.2,1.4,85.7,0.2,3.4,3.6,0.0,0.4,1.4,5.6,13.8
davide mario cecchin,15,Givova Scafati,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alessandro chapelli,40,Umana Reyer Venezia,Guardia,194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
vasilis charalampopoulos,33,Carpegna Prosciutto Pesaro,Ala,204,25.2,2.5,2.9,1.7,3.2,52.9,1.2,2.9,40.4,2.3,3.0,77.1,1.3,3.8,5.1,0.7,0.1,1.1,1.6,12.3
kwan cheatham,55,Carpegna Prosciutto Pesaro,Ala,208,28.8,2.2,2.1,2.2,5.0,43.5,2.6,7.2,36.6,1.5,1.9,78.1,1.8,4.4,6.2,0.4,0.2,1.6,1.2,12.5
massimo chessa,10,Banco di Sardegna Sassari,Play,188,8.0,1.7,0.5,0.2,0.5,40.0,0.8,1.5,52.9,0.3,0.3,100.0,0.1,1.0,1.1,0.0,0.2,0.4,0.6,2.4
matteo chillo,15,Umana Reyer Venezia,Ala,203,2.9,0.5,0.1,0.0,0.1,0.0,0.1,0.4,25.0,0.2,0.4,50.0,0.1,0.4,0.5,0.0,0.1,0.0,0.0,-0.1
semaj christon,0,Bertram Yachts Derthona Tortona,Play,191,29.0,1.9,3.1,4.7,9.7,48.5,0.8,2.2,35.1,2.5,3.4,73.7,0.4,2.1,2.4,0.0,0.6,2.0,5.6,14.4
andrea cinciarini,20,UNAHOTELS Reggio Emilia,Play,193,32.6,2.9,3.2,2.6,4.7,54.7,1.2,4.2,28.4,1.9,2.6,75.6,0.5,3.9,4.4,0.1,0.3,2.8,11.5,19.3
alessandro cipolla,6,UNAHOTELS Reggio Emilia,Guardia,197,6.3,1.3,0.7,0.1,0.7,12.5,0.1,0.5,16.7,0.1,0.2,50.0,0.2,0.2,0.4,0.0,0.2,0.3,0.4,-0.8
michael cobbins,20,Germani Brescia,Centro,203,18.6,2.4,2.2,1.9,3.1,59.1,0.0,0.0,0.0,1.4,2.3,62.5,1.3,3.6,4.9,0.0,0.3,1.1,0.5,6.9
luca conti,8,Dolomiti Energia Trentino,Guardia,196,12.9,1.3,0.9,0.9,1.6,53.8,0.2,0.6,30.0,0.4,0.4,85.7,0.4,1.8,2.3,0.1,0.1,0.5,0.5,3.7
derek cooke,11,NutriBullet Treviso Basket,Centro,206,25.3,2.2,2.0,3.1,6.3,49.5,0.0,0.0,0.0,0.9,2.7,34.9,2.9,4.2,7.1,0.4,0.3,1.7,1.1,9.8
isaia cordinier,00,Virtus Segafredo Bologna,Guardia,196,22.7,2.0,2.6,2.3,3.4,67.6,1.5,3.3,45.5,2.1,2.6,80.8,0.9,2.5,3.4,0.3,0.0,1.5,1.7,13.5
david reginald cournooh,25,Germani Brescia,Play,196,21.4,2.1,2.4,1.9,4.0,48.5,1.2,3.2,38.2,1.6,1.8,87.1,0.2,1.8,2.1,0.1,0.3,1.2,2.6,9.2
andrew crawford,22,Dolomiti Energia Trentino,Guardia,196,25.3,2.8,2.2,2.2,4.8,46.1,1.7,4.1,40.9,1.5,2.0,75.0,0.8,3.0,3.8,0.3,0.3,1.1,1.1,9.8
luigi datome,70,EA7 Emporio Armani Milano,Ala,203,9.5,1.8,1.0,0.7,2.0,33.3,0.3,1.0,33.3,0.7,0.8,80.0,0.3,0.5,0.8,0.0,0.2,0.3,0.2,0.8
mike daum,24,Bertram Yachts Derthona Tortona,Ala,206,24.1,1.8,2.2,2.8,4.7,58.7,1.2,3.7,33.3,1.4,1.8,77.4,1.6,4.8,6.4,0.4,0.3,1.0,1.2,13.5
brandon davies,0,EA7 Emporio Armani Milano,Centro,208,21.2,2.7,4.2,5.4,8.6,61.9,0.1,0.6,18.2,3.6,4.5,80.3,1.4,3.6,5.1,0.6,0.5,2.2,2.0,17.4
corey davis,5,Pallacanestro Trieste,Play,185,31.4,1.9,2.6,2.8,6.1,45.2,1.7,4.2,40.8,0.9,1.4,66.7,0.8,1.9,2.8,0.0,0.4,2.8,4.6,10.7
devin davis,,GeVi Napoli Basket,Ala,198,20.3,2.1,1.8,1.8,3.5,51.3,0.8,2.5,33.3,1.3,1.5,82.4,1.3,3.8,5.1,0.4,0.1,1.2,0.5,8.9
lodovico deangeli,8,Pallacanestro Trieste,Guardia,205,13.4,1.8,1.0,0.9,1.5,61.5,0.3,1.2,25.0,0.4,0.9,43.7,0.4,1.9,2.3,0.1,0.1,0.5,0.3,3.2
mario fausto de donno,8,Happy Casa Brindisi,,0,0.7,1.0,3.7,0.0,0.3,1.3,0.0,2.7,1.0,3.7,0.7,0.3,0.7,0.0,0.0,2.3,0.55,-0.7,0.0,0.0
quirino de laurentiis,13,Givova Scafati,Centro,207,13.6,2.0,0.8,0.7,1.6,42.9,0.2,0.7,33.3,0.8,1.1,70.0,0.7,1.8,2.4,0.0,0.3,1.1,0.4,1.7
carlos delfino,82,Carpegna Prosciutto Pesaro,Ala,198,15.5,1.5,0.8,0.8,1.8,42.9,0.5,2.5,20.0,0.5,0.8,66.7,0.3,2.0,2.3,0.0,0.3,1.5,1.3,1.8
lorenzo dell anna,20,Dolomiti Energia Trentino,,0,2.7,3.7,6.0,0.0,0.7,3.0,4.7,0.3,2.3,2.7,0.3,0.0,2.0,0.7,0.3,12.7,1.031,-1.0,0.0,0.0
amedeo della valle,8,Germani Brescia,Guardia,194,28.5,2.6,4.6,2.5,5.3,46.7,1.7,5.1,33.7,6.4,6.8,93.9,0.1,1.6,1.7,0.4,0.5,1.9,3.9,16.6
nicolo dellosto,9,GeVi Napoli Basket,Ala,200,7.6,0.8,0.2,0.4,0.9,46.2,0.3,0.9,30.8,0.1,0.1,100.0,0.4,0.5,0.9,0.2,0.4,0.3,0.4,0.9
andrea de nicolao,10,Umana Reyer Venezia,Play,185,11.0,1.1,1.3,0.3,0.8,38.5,0.5,1.6,30.8,0.5,0.6,80.0,0.3,0.6,0.8,0.0,0.1,0.5,2.1,3.9
giovanni de nicolao,10,Openjobmetis Varese,Play,191,18.2,2.6,0.9,1.0,2.1,47.2,0.7,2.8,25.0,0.4,0.7,58.3,0.7,2.0,2.7,0.1,0.2,0.7,2.2,3.9
giacomo devecchi,8,Banco di Sardegna Sassari,Guardia,196,3.8,0.4,0.5,0.1,0.1,100.0,0.0,0.4,0.0,0.1,0.2,50.0,0.1,0.1,0.2,0.0,0.0,0.1,0.3,0.2
mamoudou dia,34,Carpegna Prosciutto Pesaro,Ala,203,2.0,4.3,8.7,0.0,0.0,0.0,4.3,4.7,4.7,9.3,0.7,0.0,1.7,2.0,0.7,16.3,0.818,1.0,0.0,0.0
ousmane diop,25,Banco di Sardegna Sassari,Ala,204,17.1,2.4,2.2,2.8,4.6,59.5,0.1,0.2,33.3,1.6,2.5,64.3,2.2,3.0,5.2,0.5,0.4,1.5,1.5,10.7
mouhamet rassoul diouf,35,UNAHOTELS Reggio Emilia,Ala,206,12.1,1.6,2.2,1.4,2.9,47.7,0.0,0.3,0.0,1.6,2.2,72.7,1.1,1.8,2.9,0.9,0.2,1.1,0.2,6.1
dikembe dixson,96,Happy Casa Brindisi,Ala,201,8.6,0.9,0.9,0.6,1.4,45.5,0.1,1.0,12.5,0.6,0.9,71.4,0.0,1.3,1.3,0.0,0.0,0.5,0.6,1.8
chris dowe,5,Banco di Sardegna Sassari,Guardia,193,23.6,1.9,3.4,3.5,6.1,56.7,0.6,2.2,29.2,2.2,2.7,80.0,0.9,2.6,3.5,0.2,0.3,1.6,4.3,14.5
octavius ellis,,NutriBullet Treviso Basket,Centro,208,22.0,4.0,1.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,4.0,0.0,7.0
nicholas errica,4,Bertram Yachts Derthona Tortona,Play,185,2.3,3.3,7.7,0.0,1.3,6.3,2.3,1.3,2.0,3.3,0.3,0.0,1.7,0.7,2.7,9.3,0.755,1.7,0.0,0.0
junior etou,,Happy Casa Brindisi,Ala,203,22.9,2.2,2.3,1.2,2.1,56.5,1.1,3.0,36.4,1.1,1.5,75.0,0.9,3.0,3.9,0.2,0.2,0.8,0.2,7.6
leonardo faggian,10,NutriBullet Treviso Basket,Guardia,195,7.3,1.2,0.5,0.5,1.1,50.0,0.1,0.4,25.0,0.4,0.6,57.1,0.6,0.8,1.5,0.1,0.2,0.3,0.4,1.8
giovanni faldini,2,Virtus Segafredo Bologna,,0,3.7,1.3,4.0,0.0,0.7,2.0,1.7,1.3,3.0,4.3,0.0,0.3,4.0,3.0,2.0,6.7,0.578,1.0,0.0,0.0
alessandro ferrari,7,Tezenis Verona,Ala,205,1.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giancarlo ferrero,21,Openjobmetis Varese,Ala,198,10.7,1.0,0.9,0.1,0.5,25.0,1.2,2.7,43.9,1.0,1.4,71.4,0.1,1.2,1.3,0.0,0.0,0.3,0.2,3.8
ariel filloy,12,Bertram Yachts Derthona Tortona,Guardia,190,18.6,2.0,1.9,0.9,2.4,39.5,1.8,4.3,40.6,2.1,2.6,82.9,0.2,2.1,2.3,0.0,0.1,0.8,1.6,8.8
niccolo filoni,75,Bertram Yachts Derthona Tortona,Ala,196,3.0,0.4,0.3,0.1,0.3,50.0,0.0,0.1,0.0,0.3,0.3,100.0,0.0,0.3,0.3,0.0,0.1,0.0,0.1,0.6
diego flaccadori,12,Dolomiti Energia Trentino,Play,193,29.9,1.4,3.4,3.6,7.6,47.9,1.4,4.6,31.5,2.5,3.1,80.0,0.5,3.8,4.3,0.2,0.4,2.8,3.1,13.8
toto forray,10,Dolomiti Energia Trentino,Play,188,20.4,3.0,2.2,1.6,4.1,39.1,0.8,2.1,36.1,1.2,1.4,87.5,0.5,1.9,2.5,0.1,0.2,1.9,1.7,5.2
allerik freeman,5,Umana Reyer Venezia,Guardia,191,20.6,1.9,1.3,1.4,3.3,41.1,1.5,4.5,34.2,1.4,1.5,88.5,0.2,1.3,1.5,0.0,0.6,1.0,1.6,5.2
alessio fusco,8,Happy Casa Brindisi,,0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,2.0,0.0,0.0
kenny gabriel,1,Germani Brescia,Ala,206,26.4,2.8,1.4,1.9,3.3,57.1,1.9,5.1,36.8,0.9,1.2,76.2,1.1,6.2,7.3,0.7,0.1,1.0,1.2,12.5
frank gaines,1,Pallacanestro Trieste,Guardia,191,25.5,1.9,3.5,2.0,4.6,43.6,2.2,7.0,31.9,3.3,4.2,78.9,0.6,2.3,2.9,0.1,0.2,2.0,1.0,9.6
luca gandini,7,Banco di Sardegna Sassari,Centro,206,5.2,1.0,0.8,0.4,0.4,100.0,0.0,0.2,0.0,0.4,0.4,100.0,0.8,0.6,1.4,0.0,0.0,0.6,0.2,2.2
mourtada gaye,6,Dolomiti Energia Trentino,,0,2.3,1.7,5.0,0.0,0.3,1.3,2.7,1.7,4.0,5.7,0.0,0.0,1.7,1.7,0.7,9.3,0.764,0.7,0.0,0.0
stefano gentile,22,Banco di Sardegna Sassari,Play,191,18.5,2.2,2.1,1.2,2.6,44.1,0.8,2.5,31.3,1.2,1.5,75.0,0.1,1.8,1.8,0.0,0.3,1.4,3.0,6.2
gabriele ghidini,9,Germani Brescia,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-3.0
filippo giberti,4,UNAHOTELS Reggio Emilia,,0,1.3,0.3,2.0,0.0,3.0,5.3,2.0,0.3,1.3,1.7,0.0,0.0,1.3,0.0,0.7,7.7,1.156,-0.7,0.0,0.0
jayson granger,11,Umana Reyer Venezia,Play,188,27.3,2.2,3.1,1.3,3.5,36.7,2.1,5.3,40.0,0.9,1.1,84.2,0.4,2.0,2.4,0.0,0.0,1.8,4.1,10.3
sergio grassi,88,GeVi Napoli Basket,Guardia,193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrejs grazulis,24,Dolomiti Energia Trentino,Ala,202,27.7,2.3,1.8,2.7,5.4,50.5,0.8,3.1,26.9,0.9,1.2,76.2,2.2,3.7,5.9,1.1,0.3,1.1,1.1,10.5
tommaso guadalupi,8,Happy Casa Brindisi,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jon axel gudmundsson,30,Carpegna Prosciutto Pesaro,Guardia,195,19.7,2.6,2.7,1.0,2.5,40.0,0.8,3.1,27.0,1.3,1.8,68.2,0.4,2.3,2.7,0.0,0.2,0.8,2.5,6.3
daniel hackett,23,Virtus Segafredo Bologna,Play,197,19.9,2.4,3.6,1.0,2.0,50.0,0.9,2.6,36.1,1.7,2.2,77.4,0.7,2.3,3.0,0.0,0.1,1.4,2.3,8.9
devon hall,22,EA7 Emporio Armani Milano,Guardia,196,25.1,2.2,2.1,1.8,2.9,60.0,0.9,2.4,40.0,1.5,1.7,86.2,0.4,2.2,2.6,0.1,0.1,1.1,2.6,9.4
clevin hannah,,Givova Scafati,Play,178,22.0,1.0,4.0,1.0,3.0,33.3,3.0,3.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,23.0
demonte harper,22,Bertram Yachts Derthona Tortona,Guardia,193,24.1,1.9,2.3,1.9,4.4,43.2,0.9,3.3,28.6,1.1,1.7,65.5,0.5,2.8,3.3,0.1,0.2,1.8,2.1,6.6
d angelo harrison,7,Happy Casa Brindisi,Guardia,193,16.0,1.5,1.5,1.5,2.0,75.0,0.0,4.0,0.0,2.0,2.0,100.0,0.0,3.0,3.0,0.0,0.0,0.5,1.0,4.5
kyle hines,42,EA7 Emporio Armani Milano,Centro,198,16.8,1.0,1.7,2.5,3.7,68.2,0.0,0.0,0.0,1.3,2.5,53.3,1.8,1.7,3.5,0.5,0.3,0.8,1.8,10.3
aric jeremiah holman,6,Tezenis Verona,Ala,206,23.5,2.7,1.9,1.8,4.4,41.4,1.1,4.0,28.1,1.4,1.6,84.6,1.9,3.4,5.3,1.3,0.3,1.6,1.1,8.3
mikael levon hopkins,5,UNAHOTELS Reggio Emilia,Centro,206,24.9,3.6,2.1,3.3,5.8,56.3,0.8,2.3,35.3,1.8,2.2,81.8,2.1,6.4,8.5,0.5,0.7,1.9,0.8,12.9
jordan howard,1,GeVi Napoli Basket,Play,180,26.2,0.7,2.6,2.6,5.4,48.8,2.4,6.2,38.4,2.4,2.9,83.0,0.3,1.5,1.8,0.0,0.1,1.5,2.8,13.0
matteo imbro,24,Givova Scafati,Play,192,16.7,1.8,1.8,0.7,1.6,42.9,1.2,3.7,31.7,0.8,0.9,87.5,0.5,1.4,1.9,0.0,0.1,0.8,2.6,6.0
hugo invernizzi,,NutriBullet Treviso Basket,Ala,198,20.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0
ike iroegbu,2,NutriBullet Treviso Basket,Play,190,26.5,2.5,3.4,3.6,6.3,56.4,1.9,5.1,38.3,3.3,4.0,82.8,0.6,2.6,3.2,0.0,0.4,2.1,2.5,14.6
marco ius,9,Pallacanestro Trieste,,0,4.0,9.3,14.7,1.3,0.7,3.0,5.7,4.0,6.7,10.7,1.7,0.0,2.3,1.7,1.0,28.3,1.093,0.3,0.0,0.0
mouhammadou jaiteh,14,Virtus Segafredo Bologna,Centro,211,19.5,1.8,3.6,3.2,5.2,62.7,0.0,0.0,0.0,1.9,4.0,48.1,2.0,4.7,6.7,0.6,0.3,0.8,0.5,13.3
dimitrije jankovic,9,Bertram Yachts Derthona Tortona,,0,1.0,1.7,3.3,0.0,0.3,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.3,0.7,5.0,0.642,1.0,0.0,0.0
mikael jantunen,18,NutriBullet Treviso Basket,Ala,204,23.4,2.9,2.1,2.2,4.4,50.0,0.6,1.9,31.3,1.4,1.6,88.9,1.6,3.6,5.2,0.2,0.6,1.4,0.9,8.2
jaron johnson,92,Openjobmetis Varese,Ala,198,30.1,2.5,2.5,3.2,5.8,56.1,2.2,6.3,34.6,2.1,2.5,81.4,0.5,4.1,4.5,0.2,0.5,1.9,2.2,13.1
xavier alexander johnson,11,Tezenis Verona,Ala,201,24.2,2.5,3.0,3.2,5.5,57.4,0.2,1.4,16.7,2.4,3.4,70.2,2.1,4.0,6.1,0.2,0.5,1.2,0.8,11.2
jamal jones,0,Banco di Sardegna Sassari,Ala,203,23.8,3.1,2.4,3.5,6.5,53.6,1.7,4.4,38.7,1.6,2.0,82.4,0.8,3.0,3.8,0.8,0.2,1.1,1.5,12.5
mikk jurkatamm,7,NutriBullet Treviso Basket,Guardia,195,10.9,2.3,0.8,0.5,1.1,47.1,0.4,2.1,21.2,0.3,0.3,80.0,0.3,0.8,1.0,0.1,0.1,0.4,0.9,0.7
dejan kravic,1,Carpegna Prosciutto Pesaro,Centro,213,24.0,1.7,1.9,5.3,8.9,59.4,0.0,0.0,0.0,1.1,2.0,53.3,2.3,3.1,5.5,0.7,0.3,0.8,1.5,14.6
filip kruslin,6,Banco di Sardegna Sassari,Play,198,26.7,2.4,2.1,0.8,2.4,34.1,2.5,4.6,53.2,0.8,1.2,61.9,0.5,2.3,2.8,0.0,0.2,2.0,2.2,9.0
